question_text,topic_name,option_1,option_2,option_3,option_4,option_5,correct_option,explanation,bloom_taxonomy,tags,image_filename
"Which of the following is/are of nominal data type? i. Hotel class from 1-star, 2-stars... to 5 stars where the higher number of stars indicate a more luxurious hotel ii. Ticket prices (in $) to different tourist attractions iii. Types of tourist attractions (art, adventure, nature, culture, etc.) iv. Location of attractions (e.g. Jurong, Mandai, Sentosa, Orchard, etc.) v. Distance from MRT for the tourist attractions (in meters)",Level of measurement,i only,"i, iii and iv only",ii and v only,iii only,iii and iv only,5,"Nominal data are categorical without inherent order. Types of attractions (iii) and Location (iv) are nominal. Hotel stars (i) is ordinal (has inherent order). Prices (ii) and Distance (v) are ratio/interval data.",,baseline,
"Suppose an analyst collected data from a supermarket on the daily sales (in dollars) of vegetables in the last year. His analysis produces: N=365, mean=$2350, standard deviation=$50, standard error=$2.617, Prediction Interval=($2251.54, $2448.46). Assume sales are relatively stable throughout the year. Which is a correct interpretation?",Confidence Interval,"We can predict with 95% confidence level that the sales of vegetables on a given day would be between $2251.54 to $2448.46","We can predict with 95% confidence level that the mean daily sales for vegetables will be between $2251.54 to $2448.46","We can predict that there is a 95% probability that the average daily sales for vegetables will lie between $2251.54 to $2448.46","We can be 95% sure that the average daily sales of vegetables would be between $2251.54 to $2448.46","We can predict there is a 95% chance that a randomly chosen sample mean will lie between $2251.54 and $2448.46",1,"A prediction interval predicts where a single future observation will fall, not the mean. Option (a) correctly interprets the prediction interval for an individual day's sales.",,baseline,
"A study was conducted on the 2020 cohort of graduates to gather their salary data. A survey was administered one year after graduation and again two years after graduation. Graduates who responded to both surveys were kept in the dataset. To compare if there is a significant increase in salary from year 1 to year 2, which test would be most appropriate?",Hypothesis Testing,Paired 2-sample t-test,Independent 2-sample t-test,Anova test,Paired z-test,One sample t-test,1,"Since the same individuals are measured at two time points, the data is paired/dependent. A paired t-test is appropriate for comparing means of two related groups.",,baseline,
"The table below shows descriptive statistics for Weekly Expenditure computed using the psych package: n=40, mean=328.82, sd=146.70, median=294.90, min=114.96, max=775.02, skew=2.025, kurtosis=0.994, se=23.19. Which best describes the distribution?",Probability Distributions,Highly left skewed with shorter and thinner tails than normal distribution,Highly positively skewed with longer and thicker tails than normal distribution,Moderately positively skewed with shorter and thinner tails than normal distribution,Relatively symmetrical with longer and thicker tails than normal distribution,Perfectly symmetrical and follows a normal distribution,2,"Skew=2.025 indicates highly positive (right) skew. Kurtosis=0.994 (excess kurtosis near 0 or positive) suggests tails similar to or heavier than normal distribution.",,baseline,
"Housing data modelled with Price ~ lotsize + bedrooms. Regression output shows: Intercept=5.613e+03 (p=0.172), lotsize=6.053e+00 (p<2e-16), bedrooms=1.057e+04 (p=2.31e-16). Which statements are correct? i. Adding more variables decreases overall R-Square ii. p-value <2e-16 means not much evidence for lotsize coefficient different from zero iii. p-value 2.31e-16 means evidence for bedrooms coefficient different from zero iv. For one more bedroom, average price increases by $5613 v. Fitted function: Price = 5613 + 6.053*lotsize + 10570*bedrooms",Regression Analysis,i and ii only,"ii, iii and v only","i, iii and v only",iii and v only,"i, ii, and v only",4,"Statement iii is correct (very small p-value = significant). Statement v shows the correct regression equation. Statement i is false (adding variables increases R-square). Statement ii is false (small p-value = strong evidence). Statement iv confuses intercept with bedroom coefficient.",,baseline,
"Multivariate regression for math10 ~ log(expend) + lnchprg. Variables: math10=percentage passing MEAP math, expend=expenditure per student, lnchprg=percentage in school lunch programme (linked to poverty). Coefficient for lnchprg=-0.30459 (p<2e-16). What is the correct interpretation?",Regression Analysis,"For every 1-percentage-point increase in lnchprg, predicted math10 decreases by 0.30%, holding other variables constant",Schools with higher lnchprg always have lower math10 regardless of all other factors,A 1% increase in lnchprg causes a 30% decline in math10,The relationship between lnchprg and math10 is not statistically significant at any reasonable confidence level,lnchprg explains all variation in math10 once log(expend) is controlled for,1,"The coefficient -0.30459 means for each 1-unit increase in lnchprg, predicted math10 decreases by 0.30 percentage points, holding other variables constant.",,baseline,
"99% confidence interval results for math10 regression: Intercept (-85.25, 44.53), log(expend) (-1.46, 13.92), lnchprg (-0.396, -0.213). Based on the 99% CI, which statement is correct?",Confidence Interval,"Because the 99% CI for lnchprg does not include zero, there is strong evidence that lnchprg is associated with lower math performance","Although the coefficient is negative, the wide confidence interval suggests the relationship is too uncertain","Since the 99% CI is narrow and fully above zero, lnchprg is a positive predictor of math10","The CI includes zero at the 99% level, so lnchprg is not statistically significant",The coefficient is significant only at the 95% level but not at the 99% level,1,"The 99% CI for lnchprg is entirely negative (-0.396 to -0.213), not including zero. This provides strong evidence of a significant negative association with math10.",,baseline,
"Histogram shows variable Z with frequencies: 1 at around -10000, 18 near 0, 72 in 0-10000 range, 6 around 10000, 2 in 10000-20000, and 1 outlier at 30000. Boxplot output shows outliers: 10668, 10733, -5577, 25405. Which conclusions are correct? i) Z has left skewed distribution ii) Z has one outlier based on histogram iii) Z has three outliers based on boxplot iv) Z has right skewed distribution v) Z is normally distributed",Probability Distributions,ii and iv only,ii and iii only,v only,"i, ii and iii only","ii, iii and iv only",1,"The histogram shows right skew (long tail to right). The boxplot shows 4 outlier values. Statement ii (one extreme outlier visible in histogram) and iv (right/positive skew) are correct.",,baseline,
"Given DataFrame store_sales, which code correctly calculates the mean of each row across columns 3 to 8?",Python Data Structures,store_sales.iloc[3:9].mean(axis=0),"store_sales.iloc[:, 3:9].mean(axis=0)","store_sales.iloc[:, 3:9].mean(axis=1)",store_sales.iloc[3:9].mean(axis=1),"store_sales.iloc[:, 3:9].mean()",3,"iloc[:,3:9] selects all rows and columns 3-8 (0-indexed). mean(axis=1) calculates mean across columns for each row.",,baseline,
"Dataset segment_data has columns Segment, own_home, and subscribe. You want frequency of Segment and own_home combinations showing True/False breakdown by segment. Which code produces this result?",Python Data Structures,"segment_data.groupby(['Segment', 'own_home'])['subscribe'].count().unstack()","segment_data.groupby(['Segment', 'own_home'])['subscribe'].sum().unstack()",segment_data['own_home'].value_counts().unstack(),"segment_data.pivot(index='Segment', columns='own_home', values='subscribe').count()","segment_data.groupby(['Segment', 'own_home'])['subscribe'].count().pivot_table(columns='own_home')",1,"groupby(['Segment','own_home']) groups by both columns, ['subscribe'].count() counts rows in each group, and unstack() pivots own_home values (True/False) into columns.",,baseline,
